"","SEX_label","JWTR_label","JWMNP","AGEP","PINCP"
"440","Female","Walked",5,39,10000
"441","Female","Walked",10,34,55000
"442","Female","Walked",5,28,28800
"443","Female","Walked",10,33,53000
"444","Female","Walked",25,21,2000
"445","Female","Walked",5,28,55000
"446","Female","Walked",25,54,15800
"447","Female","Walked",25,20,16000
"448","Female","Walked",15,31,60000
"449","Female","Walked",15,41,19400
"450","Female","Walked",30,73,23000
"451","Female","Walked",12,63,12000
"452","Female","Walked",1,61,22000
"453","Female","Walked",10,27,600
"454","Female","Walked",20,60,70000
"455","Female","Walked",15,25,10000
"456","Female","Walked",10,24,24100
"457","Female","Walked",20,27,45000
"458","Female","Walked",5,60,29900
"459","Female","Walked",5,39,24800
"460","Female","Walked",1,48,1500
"461","Female","Walked",10,32,17500
"462","Female","Walked",15,25,27000
"463","Female","Walked",15,59,46200
"464","Female","Walked",45,65,165000
"465","Female","Walked",10,23,7000
"466","Female","Walked",3,60,109000
"467","Female","Walked",11,27,3100
"468","Female","Walked",30,63,24000
"469","Female","Walked",20,54,25000
"470","Female","Walked",5,46,50000
"471","Female","Walked",10,21,19300
"472","Female","Walked",5,58,45700
"473","Female","Walked",20,67,16200
"474","Female","Walked",15,32,11000
"475","Female","Walked",30,53,15300
"476","Female","Walked",5,28,45000
"477","Female","Walked",10,24,16000
"478","Female","Walked",30,40,20000
"479","Female","Walked",15,22,6000
"480","Female","Walked",20,56,35000
"481","Female","Walked",7,47,17000
"482","Female","Walked",12,32,91020
"483","Female","Walked",10,50,69000
"484","Female","Walked",30,48,75000
"485","Female","Walked",12,22,34300
"486","Female","Walked",15,43,12000
"487","Female","Walked",15,48,60000
"488","Female","Walked",1,56,19000
"489","Female","Walked",5,55,54100
"490","Female","Walked",30,30,85000
"491","Female","Walked",15,20,14000
"492","Female","Walked",5,26,40000
"493","Female","Walked",45,24,20000
"494","Female","Walked",2,31,11000
"495","Female","Walked",10,33,32700
"496","Female","Walked",15,23,10000
"497","Female","Walked",20,32,30000
"498","Female","Walked",25,34,9200
"499","Female","Walked",5,62,15000
"500","Female","Walked",12,37,137000
"501","Female","Walked",20,40,80000
"502","Female","Walked",15,44,29800
"503","Female","Walked",20,52,59700
"504","Female","Walked",20,48,50000
